rank,enrollment_1,enrollment_2,enrollment_3,zero_shot_mean,sft_mean,sft_minus_zero,zero_change_vs_010_020_030
87,040.wav,050.wav,090.wav,0.7258912670290707,0.687580159648271,-0.03831110738079968,-0.0019487840786708288
88,020.wav,040.wav,070.wav,0.7262564828629866,0.6861777080503176,-0.04007877481266897,-0.0015835682447549182
89,020.wav,030.wav,040.wav,0.7266298941108928,0.6859835937094072,-0.04064630040148565,-0.001210156996848677
90,020.wav,050.wav,060.wav,0.726733115419726,0.687659964628707,-0.03907315079101892,-0.0011069356880155645
91,030.wav,040.wav,070.wav,0.7268215717642654,0.6969069935098527,-0.029914578254412683,-0.0010184793434760975
92,050.wav,060.wav,070.wav,0.7269247930730985,0.6985833644291524,-0.028341428643946176,-0.000915258034642985
93,010.wav,050.wav,090.wav,0.7271014240259194,0.6967035432944192,-0.030397880731500182,-0.0007386270818221519
94,030.wav,050.wav,060.wav,0.7272982043210048,0.6983892500882422,-0.02890895423276263,-0.0005418467867367438
95,010.wav,020.wav,070.wav,0.7274666398598354,0.6953010916964658,-0.032165548163369584,-0.00037341124790613023
96,010.wav,020.wav,030.wav,0.7278400511077415,0.6951069773555556,-0.032733073752185926,0.0
97,010.wav,030.wav,070.wav,0.7280317287611142,0.7060303771560009,-0.022001351605113295,0.0001916776533726905
98,010.wav,040.wav,100.wav,0.7283753089411836,0.6854104810948448,-0.042964827846338816,0.0005352578334421043
99,040.wav,050.wav,080.wav,0.7284700008766203,0.6931426976217298,-0.03532730325489053,0.000629949768878757
100,010.wav,050.wav,080.wav,0.7296801578734691,0.702266081267878,-0.02741407660559103,0.001840106765727545
101,040.wav,050.wav,060.wav,0.7300137203976874,0.6922504451834178,-0.03776327521426959,0.00217366928994589
102,010.wav,020.wav,040.wav,0.7305555671844242,0.6889681724507314,-0.04158739473369277,0.0027155160766826336
103,010.wav,040.wav,070.wav,0.7307472448377968,0.6998915722511767,-0.030855672586620142,0.002907193730055324
104,010.wav,030.wav,040.wav,0.731120656085703,0.6996974579102663,-0.031423198175436706,0.0032806049779614543
105,010.wav,050.wav,060.wav,0.7312238773945361,0.7013738288295661,-0.029850048564969978,0.0033838262867945668
106,020.wav,050.wav,100.wav,0.7317378926645195,0.6939643906056386,-0.03777350205888086,0.00389784155677797
107,050.wav,070.wav,100.wav,0.7319295703178921,0.704887790406084,-0.027041779911808117,0.0040895192101505495
108,030.wav,050.wav,100.wav,0.7323029815657983,0.7046936760651737,-0.02760930550062457,0.004462930458056791
109,020.wav,050.wav,070.wav,0.7341098285611326,0.7084454817619704,-0.025664346799162185,0.006269777453391079
110,020.wav,030.wav,050.wav,0.7344832398090388,0.7082513674210601,-0.02623187238797875,0.00664318870129732
111,030.wav,050.wav,070.wav,0.7346749174624115,0.7191747672215055,-0.015500150240906008,0.006834866354670011
112,040.wav,050.wav,100.wav,0.7350184976424811,0.6985548711603494,-0.03646362648213164,0.007178446534739535
113,010.wav,050.wav,100.wav,0.7362286546393296,0.7076782548064977,-0.02855039983283192,0.008388603531588101
114,020.wav,040.wav,050.wav,0.7371987558857215,0.7021125625162359,-0.035086193369485597,0.009358704777979954
115,040.wav,050.wav,070.wav,0.7373904335390941,0.7130359623166812,-0.024354471222412855,0.009550382431352533
116,030.wav,040.wav,050.wav,0.7377638447870004,0.712841847975771,-0.02492199681122942,0.009923793679258885
117,010.wav,020.wav,050.wav,0.7384089128825702,0.7112359461623842,-0.027172966720185987,0.01056886177482863
118,010.wav,050.wav,070.wav,0.7386005905359428,0.7221593459628295,-0.016441244573113356,0.010760539428201321
119,010.wav,030.wav,050.wav,0.7389740017838492,0.7219652316219193,-0.01700877016192992,0.011133950676107673
120,010.wav,040.wav,050.wav,0.7416895178605317,0.715826426717095,-0.025863091143436767,0.013849466752790196
