system,sample_id,generated_audio,enrollment_audio,sim
sft,test_050,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_050.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.5673522266537387
sft,test_050,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_050.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.5489248178811831
sft,test_060,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_060.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6647021735808392
sft,test_060,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_060.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6601732831426013
sft,test_060,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_060.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7274778893861534
sft,test_070,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_070.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.5886943366914846
sft,test_070,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_070.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.5435877432805138
sft,test_070,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_070.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.619134787389316
sft,test_080,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_080.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7602324916064748
sft,test_080,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_080.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6441662319087872
sft,test_080,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_080.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.693954503680292
sft,test_090,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_090.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7342143084606282
sft,test_090,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_090.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.726043073956987
sft,test_090,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_090.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7352624082686787
sft,test_100,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_100.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7999410743746719
sft,test_100,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_100.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.7697512131326016
sft,test_100,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_100.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7881584934521564
sft,test_110,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_110.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6562152946160973
sft,test_110,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_110.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6290206680077823
sft,test_110,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_110.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6796056603433424
sft,test_120,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_120.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6948641573891307
sft,test_120,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_120.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6952568746187106
sft,test_120,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_120.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6953537840485833
sft,test_130,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_130.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7657819188918404
sft,test_130,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_130.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.7378207243550378
sft,test_130,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_130.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7379493304631896
sft,test_140,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_140.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7155370176802671
sft,test_140,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_140.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6574700606986287
sft,test_140,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_140.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6912655529725851
sft,test_150,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_150.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.6906470807277718
sft,test_150,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_150.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6570279494551392
sft,test_150,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_150.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.6603233258517983
sft,test_160,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_160.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7123005463184563
sft,test_160,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_160.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6110767620015776
sft,test_160,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_160.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.699031654739901
sft,test_170,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_170.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7645835122061251
sft,test_170,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_170.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.7140246147146557
sft,test_170,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_170.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7751599965843636
sft,test_180,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_180.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7564360968542784
sft,test_180,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_180.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6899645663862926
sft,test_180,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_180.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7218143206879168
sft,test_190,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_190.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7629241593403882
sft,test_190,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_190.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.7262798109048534
sft,test_190,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_190.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7416221920060564
sft,test_200,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_200.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\010.wav,0.7283995624634213
sft,test_200,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_200.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\020.wav,0.6634711511332579
sft,test_200,E:\xunfei-project-audio\sim_evaluation\evaluation\data\generated\sft\test_200.wav,E:\xunfei-project-audio\sim_evaluation\evaluation\data\enrollment\030.wav,0.7119089325037724
